endovar,param,coef,se,pval,partialF,rkf,nobs
"var3","var6",.2786278225449986,.027507599,4.3206906e-24,102.599104589394,102.59911,52995
"var3","var4",.2001318832218024,.0088459048,0,102.599104589394,102.59911,52995
