model_type,fe_tag,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"IV","firm","restricted_contributions_q100","var5",42.50975173937845,12.895783,.0009863897,49.794708,27.40874604600458,52995
"IV","firm","restricted_contributions_q100","var4",-37.28142899851846,10.042394,.00020761798,49.794708,27.40874604600458,52995
"OLS","none","total_contributions_q100","var3",-1.287513483092111,1.0482427,.21940973,50.301693,,53020
"OLS","none","total_contributions_q100","var5",2.742829891230234,2.9218752,.3479203,50.301693,,53020
"OLS","none","total_contributions_q100","var4",-6.901021679295719,2.5684373,.0072375592,50.301693,,53020
"IV","none","total_contributions_q100","var3",-306.402358162818,246.92651,,50.301693,.04210640814218,49287
"IV","none","total_contributions_q100","var5",2265.39475978911,4881.208,,50.301693,.04210640814218,49287
"IV","none","total_contributions_q100","var4",-1906.451782347679,4226.7856,,50.301693,.04210640814218,49287
"OLS","none","restricted_contributions_q100","var3",-.5473610071116379,1.0632067,.60670179,49.794708,,53020
"OLS","none","restricted_contributions_q100","var5",2.290541133933856,2.8591449,.42309701,49.794708,,53020
"OLS","none","restricted_contributions_q100","var4",-6.776521557537345,2.5109663,.0069838897,49.794708,,53020
"IV","none","restricted_contributions_q100","var3",-276.4290423559859,221.70482,,49.794708,.04210640814218,49287
"IV","none","restricted_contributions_q100","var5",1938.981700794864,4175.6792,,49.794708,.04210640814218,49287
"IV","none","restricted_contributions_q100","var4",-1629.697767304198,3615.6636,,49.794708,.04210640814218,49287
"OLS","industrytime","total_contributions_q100","var3",-2.617648317064331,1.0095285,.0095449714,50.301693,,52386
"OLS","industrytime","total_contributions_q100","var5",8.407993589441965,2.9069874,.0038411603,50.301693,,52386
"OLS","industrytime","total_contributions_q100","var4",-11.3304981992274,2.5819921,.00001167202,50.301693,,52386
"IV","industrytime","total_contributions_q100","var3",-33.79178392155329,13.696618,.013653741,50.301693,16.94395307383914,52386
"IV","industrytime","total_contributions_q100","var5",31.15670601980363,12.227237,.010861016,50.301693,16.94395307383914,52386
"IV","industrytime","total_contributions_q100","var4",-24.27000761440642,9.6684666,.012098353,50.301693,16.94395307383914,52386
"OLS","industrytime","restricted_contributions_q100","var3",-1.8799907429912,1.0189568,.065097325,49.794708,,52386
"OLS","industrytime","restricted_contributions_q100","var5",8.006553460569124,2.8746541,.0053702104,49.794708,,52386
"OLS","industrytime","restricted_contributions_q100","var4",-11.29085168731035,2.5731204,.000011686884,49.794708,,52386
"IV","industrytime","restricted_contributions_q100","var3",-34.97225647267715,13.580247,.010047221,49.794708,16.94395307383914,52386
"IV","industrytime","restricted_contributions_q100","var5",34.61212152486166,12.153328,.0044189598,49.794708,16.94395307383914,52386
"IV","industrytime","restricted_contributions_q100","var4",-27.20123184761288,9.5705051,.0044994582,49.794708,16.94395307383914,52386
"OLS","msatime","total_contributions_q100","var3",-2.521281667035033,1.0623934,.017673722,50.301693,,52176
"OLS","msatime","total_contributions_q100","var5",9.443836692213724,2.7971036,.00074058073,50.301693,,52176
"OLS","msatime","total_contributions_q100","var4",-11.07067715842807,2.4312756,5.4090369e-06,50.301693,,52176
"IV","msatime","total_contributions_q100","var3",-19.42956145130165,10.159591,.055880252,50.301693,21.18194832661749,52176
"IV","msatime","total_contributions_q100","var5",38.2630285518682,14.580549,.0087116687,50.301693,21.18194832661749,52176
"IV","msatime","total_contributions_q100","var4",-32.9713465454584,11.323999,.0036121146,50.301693,21.18194832661749,52176
"OLS","msatime","restricted_contributions_q100","var3",-1.941552112850377,1.067158,.068918176,49.794708,,52176
"OLS","msatime","restricted_contributions_q100","var5",8.585144467649547,2.7348897,.0017049222,49.794708,,52176
"OLS","msatime","restricted_contributions_q100","var4",-10.66371945256257,2.4010725,9.1470238e-06,49.794708,,52176
"IV","msatime","restricted_contributions_q100","var3",-21.04963233571917,10.262117,.040302243,49.794708,21.1819483474263,52176
"IV","msatime","restricted_contributions_q100","var5",41.02438640568565,14.433145,.0044969385,49.794708,21.1819483474263,52176
"IV","msatime","restricted_contributions_q100","var4",-35.30155649291084,11.140968,.0015413038,49.794708,21.1819483474263,52176
"OLS","msaindustrytime","total_contributions_q100","var3",-2.623699630689521,1.1662289,.024513407,50.301693,,49470
"OLS","msaindustrytime","total_contributions_q100","var5",8.199771663876861,3.2813997,.012493972,50.301693,,49470
"OLS","msaindustrytime","total_contributions_q100","var4",-9.776959884152093,2.8991084,.00075133424,50.301693,,49470
"IV","msaindustrytime","total_contributions_q100","var3",-69.2466119459684,32.947941,.035634253,50.301693,4.805028947859795,49470
"IV","msaindustrytime","total_contributions_q100","var5",56.16667191366261,21.605907,.0093632638,50.301693,4.805028947859795,49470
"IV","msaindustrytime","total_contributions_q100","var4",-38.22354758292266,16.105738,.017671557,50.301693,4.805028947859795,49470
"OLS","msaindustrytime","restricted_contributions_q100","var3",-2.423959479961954,1.1644558,.037432201,49.794708,,49470
"OLS","msaindustrytime","restricted_contributions_q100","var5",7.684464533292438,3.2407467,.017771486,49.794708,,49470
"OLS","msaindustrytime","restricted_contributions_q100","var4",-9.478873743413027,2.9093714,.0011299944,49.794708,,49470
"IV","msaindustrytime","restricted_contributions_q100","var3",-67.90257494289557,32.154755,.034762528,49.794708,4.805028944706044,49470
"IV","msaindustrytime","restricted_contributions_q100","var5",57.96294819094061,21.754364,.0077389558,49.794708,4.805028944706044,49470
"IV","msaindustrytime","restricted_contributions_q100","var4",-40.23577873681012,16.321856,.013732107,49.794708,4.805028944706044,49470
