model_type,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","total_contributions_q100","var3",-4.118084473276142,3.4727304,.23569515,49.90929,,245098
"OLS","total_contributions_q100","var5",10.21277418815727,4.7793369,.032615885,49.90929,,245098
"OLS","total_contributions_q100","var4",-9.071539216915999,4.4712834,.042481247,49.90929,,245098
"IV","total_contributions_q100","var3",41.97731831714162,28.871119,.14596711,49.90929,.0012914445904108,245098
"IV","total_contributions_q100","var5",-84.92177435579224,2725.6206,.97514462,49.90929,.0012914445904108,245098
"IV","total_contributions_q100","var4",77.61367966143922,2555.668,.97577274,49.90929,.0012914445904108,245098
