model_type,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","total_contributions_q100","var3",-.2771410000297388,.44493112,.53336394,49.920048,,229862
"OLS","total_contributions_q100","var4",-1.286031375158655,.33232003,.0001090917,49.920048,,229862
"IV","total_contributions_q100","var3",-3.609241537925994,2.8205414,.20068458,49.920048,543.2571909146924,229862
"IV","total_contributions_q100","var4",-.6319906022001408,.64276206,.32549503,49.920048,543.2571909146924,229862
"OLS","restricted_contributions_q100","var3",-.5055141893303084,.46288866,.27480268,48.480015,,229862
"OLS","restricted_contributions_q100","var4",-1.67131565862222,.33414003,5.7053450e-07,48.480015,,229862
"IV","restricted_contributions_q100","var3",-3.363677672375871,2.911309,.24794124,48.480015,543.2571905958615,229862
"IV","restricted_contributions_q100","var4",-1.110301537819839,.65394658,.089545235,48.480015,543.2571905958615,229862
