	(1)	(2)	(3)
VARIABLES	growth_rate_we	join_rate_we	leave_rate_we
			
var3	0.00578	0.0415***	0.0509***
	(0.00935)	(0.00979)	(0.00530)
var5	0.209**	0.228**	0.0924
	(0.102)	(0.112)	(0.0578)
var4	-0.237***	-0.252***	-0.0719
	(0.0865)	(0.0955)	(0.0496)
			
Observations	41,980	41,980	41,980
R-squared	0.002	-0.004	-0.016
Pre-COVID Y-Mean	0.114	0.245	0.141
K-P rk Wald F	16.53	16.53	16.53
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
