bucket,coef3,se3,pval3,coef5,se5,pval5,rkf,nobs
1,-22.31469085815422,6.8354549,.0011039933,10.14339119565026,17.334023,.55845904,13.88411050389779,27504
2,-17.56954057725791,10.543556,.095672935,31.29653694768983,13.517359,.020619603,14.00815060593486,49129
3,-2.737374780324414,4.939517,.57946163,6.628715692688677,6.4744558,.30592752,103.6848117729766,147989
