model_type,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","total_contributions_q100","var3",.2910415204106534,.24212624,.22935595,38.957355,,1226437
"OLS","total_contributions_q100","var4",-.6419849811507873,.22172746,.0037874891,38.957355,,1226437
"IV","total_contributions_q100","var3",15.33758830191339,2.3090084,3.0932153e-11,38.957355,1090.650807677865,1226437
"IV","total_contributions_q100","var4",-4.001751483135322,.56072122,9.5908828e-13,38.957355,1090.650807677865,1226437
