bucket,coef3,se3,pval3,coef5,se5,pval5,rkf,nobs
1,-16.39788029417617,7.9059606,.038096931,-17.30330973592827,21.480059,.42052236,29.48822280258861,45951
2,6.876434581355931,18.370724,.70817417,-1.171725659771115,18.737526,.95013851,5.772301092339375,112354
3,-4.275062558409938,3.5461295,.22801331,-.1577791001238527,7.5185161,.98325765,28.77907192107601,66403
