model_type,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","total_contributions_q100","var3",.5241185124251176,.41171294,.20301947,77.28447,,229862
"OLS","total_contributions_q100","var4",-.2504573069943065,.27616313,.36445627,77.28447,,229862
"IV","total_contributions_q100","var3",4.096659610243988,2.7428682,.13529742,77.28447,543.2571908018936,229862
"IV","total_contributions_q100","var4",-.9516929133246654,.59114504,.10742537,77.28447,543.2571908018936,229862
