bucket,coef3,se3,pval3,coef5,se5,pval5,rkf,nobs
1,-21.67021680018688,8.3142309,.0091619994,16.98556954513127,9.4664793,.072794408,31.21824647744267,36785
2,-1999.1847065057,47319.406,.96630079,2060.626774520344,48326.98,.96598947,.0008943139233734,95617
3,-.0609793167843972,3.6895959,.9868139,-4.697526092273915,6.6186962,.47787827,51.93337813724487,66963
