bucket,coef3,se3,pval3,coef5,se5,pval5,rkf,nobs
1,-21.85702820763842,8.4109774,.00937171,16.93106651547256,9.5575371,.076506302,30.48210554088388,37257
2,-227.0779177171449,560.17444,.68520921,250.6138930381467,572.87848,.66177869,.0904930758882194,96910
3,.7712494194323852,4.1526642,.85266358,-6.070444961875984,6.9041147,.37927896,51.6217659575976,65502
