endovar,param,coef,se,pval,partialF,rkf,nobs
"var3","var6",.1545748426132091,.0055951606,0,698.8247927284316,382.38348,1226437
"var3","var7",.1865902763556438,.014678828,5.1306344e-37,698.8247927284316,382.38348,1226437
"var3","var4",.0995215356312424,.0097507341,1.8572255e-24,698.8247927284316,382.38348,1226437
"var5","var6",-.0001139367087109,.00012429191,.35930714,317.9286048390519,382.38348,1226437
"var5","var7",.3397803145455798,.013476563,0,317.9286048390519,382.38348,1226437
"var5","var4",.615932280422816,.0090234848,0,317.9286048390519,382.38348,1226437
